"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060029596","54437","9437"
"T20060029605","84","5404"
"T20060029635","49244","103356"
"T20060029636","40724","5579"
"T20060029696","890","6920"
"T20060029699","36945","9708"
"T20060029701","46695","6390"
"T20060029731","531","1015"
"T20060029751","55831","4263"
"T20060029812","29885","7114"
"T20060029866","329","5399"
"T20060029879","55834","1259"
"T20060029927","39605","5466"
"T20060029979","51415","4092"
"T20060030065","43923","7357"
"T20060030079","29491","9264"
"T20060030085","40914","5910"
"T20060030088","19364","4094"
"T20060030108","37282","9642"
"T20060030121","38993","5300"
"T20060030150","15202","3092"
"T20060030159","53412","6009"
"T20060030176","1248","8830"
"T20060030187","38329","5084"
"T20060030239","1175","7111"
"T20060030250","39785","5546"
"T20060030281","41910","6076"
"T20060030300","29816","9426"
"T20060030304","36210","9572"
"T20060030311","45400","9446"
"T20060030314","29867","5441"
"T20060030316","29726","6880"
"T20060030324","45623","9353"
"T20060030336","41921","6019"
"T20060030339","26454","9149"
"T20060030389","38871","5431"
"T20060030396","41650","100046"
"T20060030396","41650","100497"
"T20060030396","41650","100498"
"T20060030409","39137","101736"
"T20060030444","38315","8811"
"T20060030485","37855","9253"
"T20060030558","45189","8867"
"T20060030616","35596","6434"
"T20060030632","24378","7069"
"T20060030653","43444","7274"
"T20060030707","39748","5232"
"T20060030740","41873","6094"
"T20060030745","29386","9497"
"T20060030807","46327","6605"
"T20060030896","55848","5498"
"T20060030944","39785","5546"
"T20060030952","205839","1005"
"T20060030967","38336","5117"
"T20060030996","37633","103326"
"T20060031010","43935","103317"
"T20060031034","40093","9858"
"T20060031045","38468","5058"
"T20060031051","54191","9732"
"T20060031078","43811","5534"
"T20060031144","44195","9035"
"T20060031172","37200","9697"
"T20060031213","39624","5458"
"T20060031215","395","9245"
"T20060031217","35705","8839"
"T20060031236","37694","5701"
"T20060031243","70759","6820"
"T20060031248","51821","4333"
"T20060031267","36693","9555"
"T20060031303","876","6678"
"T20060031305","37406","7068"
"T20060031389","41749","6007"
"T20060031395","43975","7482"
"T20060031410","43430","7347"
"T20060031414","43444","7274"
"T20060031493","36552","5981"
"T20060031618","222083","1002"
"T20060031622","43975","7482"
"T20060031648","119","9806"
"T20060031663","55348","3117"
"T20060031664","36210","9572"
"T20060031700","53383","5862"
"T20060031888","890","6920"
"T20060031892","46387","7716"
"T20060031936","45825","100462"
"T20060031974","56079","9021"
"T20060031991","29961","1399"
"T20060032011","29386","9497"
"T20060032025","637","5887"
"T20060032105","43632","6987"
"T20060032116","53139","2147"
"T20060032125","44014","7513"
"T20060032129","41389","6214"
"T20060032136","42805","6766"
"T20060032193","29375","9531"
"T20060032225","43933","7370"
"T20060032314","40894","5731"
"T20060032321","39785","5546"
"T20060032483","55862","102627"
"T20060032490","15411","7762"
"T20060032516","50536","7654"
"T20060032523","35306","5297"
"T20060032549","38315","8811"
"T20060032550","43633","6885"
"T20060032556","329","5399"
"T20060032602","26505","101446"
"T20060032711","680","101376"
"T20060032723","44242","8654"
"T20060032756","55855","4404"
"T20060032808","45344","9319"
"T20060032815","55858","100547"
"T20060032845","41964","6080"
"T20060032847","57539","6041"
"T20060032919","10412","5184"
"T20060032955","29567","5520"
"T20060032961","40","7084"
"T20060033024","42675","9218"
"T20060033034","45189","8867"
"T20060033040","29860","6637"
"T20060033058","35627","6975"
"T20060033080","40913","5913"
"T20060033082","15437","7861"
"T20060033084","46197","6606"
"T20060033120","55861","100110"
"T20060033214","36506","9899"
"T20060033248","47464","7689"
"T20060033293","38188","9308"
"T20060033316","1320","8806"
"T20060033349","55889","7746"
"T20060033394","36208","9557"
"T20060033406","44382","9950"
"T20060033413","29998","2329"
"T20060033433","55864","5246"
"T20060033508","55868","4087"
"T20060033575","38477","5066"
"T20060033589","45002","9418"
"T20060033616","10412","5184"
"T20060033728","41896","5955"
"T20060033749","37980","9270"
"T20060033770","58066","8904"
"T20060033788","57538","6043"
"T20060033829","43872","7253"
